restaurant_name,cuisine_type,review_telugu,rating,location
సముద్ర స్వాద్,North Indian,ఫ్రెష్ గా చేసిన సూప్ చాలా టేస్టీ గా ఉంది.,1,కాకినాడ
చికెన్ ట్విస్ట్,South Indian,పొంగల్ క్వాలిటీ అద్భుతం!,3,విజయవాడ
కర్రీ హౌస్,South Indian,పొంగల్ క్వాలిటీ అద్భుతం!,2,కరీంనగర్
ఓషన్ ఫుడ్,Tandoori,చికెన్ ఫ్రై అద్భుతం. ఖచ్చితంగా రికమెండ్ చేస్తాను!,2,రాజమండ్రి
దేశీ దాబా,Biryani,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా కాఫీ సూపర్.,2,తిరుపతి
బ్రేక్‌ఫాస్ట్ క్లబ్,Andhra Meals,చపాతీ క్వాలిటీ అద్భుతం!,3,కాకినాడ
ట్రెడిషనల్ టేస్ట్,North Indian,పులిహోర చాలా రుచిగా ఉంది. తప్పక ప్రయత్నించండి!,1,రాజమండ్రి
కాఫీ డే,South Indian,ధర కొంచెం ఎక్కువ కానీ టీ చాలా బాగుంది.,2,రాజమండ్రి
పిజ్జా కార్నర్,Chinese,స్పైసీ లవర్స్ కి పకోడీ బెస్ట్ ఆప్షన్.,2,కరీంనగర్
కబాబ్ జంక్షన్,Fast Food,ఇక్కడి గోంగూర పచ్చడి అసలు సూపర్! మళ్ళీ రావాలనిపించింది.,5,రాజమండ్రి
హోటల్ శ్రీ కృష్ణ,Fast Food,ధర కొంచెం ఎక్కువ కానీ పాయసం చాలా బాగుంది.,5,వరంగల్
స్నాక్స్ వరల్డ్,Fast Food,ఫ్రెష్ గా చేసిన దోసె చాలా టేస్టీ గా ఉంది.,2,రాజమండ్రి
చైనీస్ వక్,Chinese,గోంగూర పచ్చడి కొంచెం కూడా బాగోలేదు.,4,అనంతపూర్
నూడుల్ వరల్డ్,North Indian,చపాతీ రుచి మరచిపోలేనిది.,1,అనంతపూర్
ట్రెడిషనల్ కుజీన్,South Indian,పాయసం అసలు బాలేదు.,2,రాజమండ్రి
చికెన్ ట్విస్ట్,Chinese,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా గోబీ 65 సూపర్.,2,కాకినాడ
బిరియానీ పాయింట్,Tandoori,పూరీ రుచి మరచిపోలేనిది.,3,హైదరాబాద్
అన్నపూర్ణ భోజనాలయం,Chinese,ధర కొంచెం ఎక్కువ కానీ గోంగూర పచ్చడి చాలా బాగుంది.,2,హైదరాబాద్
మల్టి కైచెన్,South Indian,స్పైసీ లవర్స్ కి కాఫీ బెస్ట్ ఆప్షన్.,4,వరంగల్
స్నాక్స్ వరల్డ్,Chinese,గోంగూర పచ్చడి రుచి మామూలుగా ఉంది,1,తిరుపతి
హైదరాబాదీ బిరియానీ హౌస్,Chinese,పొంగల్ పరవాలేదు ,2,కాకినాడ
హల్దీ ఘర్,Biryani,స్పైసీ లవర్స్ కి సూప్ బెస్ట్ ఆప్షన్.,5,కాకినాడ
సౌత్ ఇండియా కాఫీ హౌస్,Biryani,ఫుడ్ సర్వ్ చేయడానికి టైం ఎక్కువ అయినా పులిహోర సూపర్.,3,విజయవాడ
స్వీట్ షాప్,Biryani,పిజ్జా చాలా రుచిగా ఉంది. తప్పక ప్రయత్నించండి!,4,తిరుపతి
చికెన్ కింగ్,North Indian,దోసె రుచి మరచిపోలేనిది.,2,విజయవాడ
క్రీమీ కేఫ్,South Indian,ధర కొంచెం ఎక్కువ కానీ బర్గర్ చాలా బాగుంది.,3,కరీంనగర్
